geocode;rmo;hh_sno;sex;sex2;sex3;edu;edu1;edu2;edu3;edu4;edu5;edu6;edu7;edu8;edu9;edu10;edu12;edu15;edu18;occ;occ2;occ3;occ4;occ5;hh_f;hh_f2;hh_a;hh_a2;c01m;c01f;c01h;c02m;c02f;c02h;c03m;c03f;c03h;c04;c05;c06;c07;c08;c09;c10;c11;c12;c13;c14;c15;c16;c17;c18;sf;mf;lf;c19;c20;c21;c22;c23;c24;c25;c26;c27;c28h;c28f;c29h;c29f;c30h;c30f;c31h;c31f;c32h;c32f;c33h;c33f;c34h;c34f;c35h;c35f;c36h;c36f;c37h;c37f;c38h;c38f;c39;c40;c41a;c41b;c42a;c42b;c43a;c43b;c44a;c44b;c45a;c45b;c45c;c46a;c46b;c47a;c47b;c48;c49;t101;t102;t103;t104;t105;t112;t113;t114;t121;t122;t123;t124;t125;t127;t128;t129;t130;t131;t132;t134;t135;t157;t158;t159;t160;t161;t167;t169;t175;t176;t177;t179;t182;t185;t106;t107;t108;t109;t110;t111;t115;t116;t117;t118;t119;t120;t126;t133;t136;t137;t138;t139;t140;t141;t142;t143;t144;t145;t146;t147;t148;t149;t150;t151;t152;t153;t154;t155;t156;t162;t163;t164;t165;t166;t168;t170;t171;t172;t173;t174;t178;t180;t181;t183;t184;t186;t187;t188;t189;t190;t191;t192;t193;t194;t195;t196;t197;t198;t199;t200;t201;t202;t203;p501a;p501b;p502a;p502b;p503a;p503b;p504a;p504b;p505a;p505b;p506a;p506b;p507a;p507b;p508a;p508b;p510a;p510b;p511a;p511b;p512a;p512b;p521a;p521b;p522a;p522b;p523a;p523b;p524a;p524b;p538a;p538b;p539a;p539b;p546a;p546b;p548a;p548b;p549a;p549b;p550a;p550b;p551a;p551b;p572a;p572b;pnl509;pnn509;pnl513;pnn513;pnl514;pnn514;pnl515;pnn515;pnl516;pnn516;pnl517;pnn517;pnl518;pnn518;pnl519;pnn519;pnl520;pnn520;pnl525;pnn525;pnl526;pnn526;pnl527;pnn527;pnl528;pnn528;pnl529;pnn529;pnl530;pnn530;pnl531;pnn531;pnl532;pnn532;pnl533;pnn533;pnl534;pnn534;pnl535;pnn535;pnl536;pnn536;pnl537;pnn537;pnl540;pnn540;pnl541;pnn541;pnl542;pnn542;pnl543;pnn543;pnl544;pnn544;pnl545;pnn545;pnl547;pnn547;pnl552;pnn552;pnl553;pnn553;pnl554;pnn554;pnl555;pnn555;pnl556;pnn556;pnl557;pnn557;pnl559;pnn559;pnl560;pnn560;pnl561;pnn561;pnl562;pnn562;pnl563;pnn563;pnl564;pnn564;pnl565;pnn565;pnl566;pnn566;pnl567;pnn567;pnl568;pnn568;pnl569;pnn569;pnl570;pnn570;pnl571;pnn571;pnl573;pnn573;pnl574;pnn574;pnl575;pnn575;pnl577;pnn577;pnl579;pnn579;pnl580;pnn580;pnl581;pnn581;pnl582;pnn582;pnl584;pnn584;pnl585;pnn585
46.43.151.410;1;1096;1028;68;0;512;20;66;39;32;119;21;29;85;63;78;31;0;1;887;7;21;31;150;5;1091;348;748;2337;2375;0;2;4;0;1268;1166;0;2310.24;139.9;321.88;2492.22;43.14;28.12;13.81;25.5;110.57;1045.21;1315.34;11.8;1.9;7.4;2381.65;720;279;34;36.2;0;4.9;0.4;3.2;1.2;0;0;1.6;4575;1595;162;80;109;0;2;0;11;0;948;89;35;0;368;57;7;0;303;11;1;0;0;36;49;3;1;9;0;0;1;0;1;11;0;76;21;0;0;0;46;67.51;554.78;162.78;0.03;12.17;1.42;0.27;0.22;36.69;22.82;4.88;14.21;2.25;3.89;5.9;10.63;7.2;15.09;5.78;0.02;1.45;0.02;0.1;1.67;70.03;17.11;0;5.81;59.37;11.79;0.15;14.43;0;0.27;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;79.24;15709;12.8;1008;33.7;3158;36.35;4430;4.71;637;24.17;2838;1.59;148;0.45;38;0.27;223;0.14;7;3.38;271;0.19;12;3.33;793;4.13;623;5.06;743;26.61;5695;17.8;3755;59.01;1242;3.1;195;0.23;13;0.71;354;826.09;374606;2.26;235;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
46.43.210.154;1;3493;3236;257;0;1072;100;193;169;142;445;120;93;317;257;344;156;74;11;2556;34;175;214;514;105;3388;915;2578;7706;7508;1;90;78;0;3747;3515;1;6942.95;788;1165.02;7319.97;298.33;32.92;162.85;25.1;519.2;2687.84;3976.23;64.4;25.4;46.9;6800.77;2337;757;111;1091.9;0;51;2.3;10.1;0;0;0;4.77;16431;7215;893;530;355;0;18;50;131;129;3269;114;300;9;2195;193;73;0;981;54;25;0;1;145;125;6;44;710;343;6;6068;5;218;18;2;298;4;0;0;35;481;162.37;2196.71;1073.73;1.64;19.29;1.22;0.24;0.15;49.29;47.33;14.22;40.15;13.07;1.22;15.59;21.52;6.55;20.45;12.88;2.91;2.95;0.11;1.11;11.61;82.93;30.65;0;6.73;197.75;14.05;1.72;30.26;0.77;4.33;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.15;252.5;39789;20.66;1955;90.12;8777;138.43;18903;21.72;3455;80.15;11719;9.25;858;4.83;391;1.66;154;0.62;55;21.16;2623;1.24;92;8.21;675;13.47;1674;14.21;1749;33.46;0;52.82;11371;279.93;1998;10.67;962;0.7;81;21.55;8079;2865.93;1172939;3.53;1359;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
46.43.442.409;1;1543;1448;95;0;443;14;70;70;55;325;58;63;140;51;174;52;17;11;803;23;109;217;391;76;1467;652;891;3843;3680;0;66;49;0;1001;861;0;2838.76;118.7;395.62;3115.68;92.25;39;54.88;46.8;232.93;953.4;1829.95;31.5;20.8;47.1;2882.75;657;345;72;175;0;18.2;16.5;9.5;0;0;0;0;8193;1650;968;710;321;0;24;0;34;0;1330;90;70;0;1175;82;46;0;203;0;4;0;18;24;30;9;31;3;1;0;0;1;0;16;1;81;31;0;0;4;225;392.32;238.55;205.74;1.1;9.65;5.76;0.1;7.45;33.17;48.22;13.46;42.37;11.47;6.91;31.91;30.17;23.36;28.38;42.07;6.44;6.33;1.48;2.02;24.79;108.44;44.55;0;3.27;118.11;18.41;1.46;18.67;2.32;9.49;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.6;170.8;24469;19.18;2911;35.86;6059;89.01;13972;11.98;2524;33.41;6480;6.46;1637;4.3;870;1.11;239;1.01;165;36.6;5349;1.84;179;8.81;1101;22.93;3966;20.33;4132;10.05;0;19.47;6027;139.72;100;58.58;11065;2.72;735;50.33;19876;926.75;322665;21.97;5250;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
46.43.442.595;1;1390;1259;131;0;436;30;90;68;38;226;43;25;149;92;117;54;17;5;736;24;82;119;429;21;1369;291;1099;3321;3239;0;10;5;0;873;766;0;1643.6;164.4;249.49;1728.69;56.61;17.2;61.13;3.7;138.64;676.79;887.86;18.6;0;6.8;1590.05;934;162;17;187.6;0;10;11.6;1;0.1;0;0;0;6391;4150;393;457;357;42;3;0;32;0;915;14;21;0;694;20;2;0;219;0;5;0;7;30;26;2;1;6;0;1;1;0;2;2;0;80;31;0;0;0;46;11.81;559.61;206.06;0;3;0;0.04;0.02;10.09;11.02;3.81;12.15;2.27;0.23;7.98;6.82;3.35;14.24;5.87;0.43;0.54;0.09;0.44;1.77;18.61;5.26;0;0.89;27.96;8.46;0.33;18.49;1.29;0.4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.2;67.85;11558;8.4;1232;28.54;4429;33.25;5617;12.89;1654;17.44;3021;9.99;540;1.7;276;0.48;91;0.13;22;7.62;1107;0.71;133;2.92;338;7.69;1618;4.54;618;1.73;0;17.27;6393;189.34;1430;3.69;453;2.19;295;4.42;1615;540.32;227592;3.92;748;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
46.43.442.742;1;507;472;35;0;195;10;24;22;26;44;19;12;50;39;51;14;1;0;469;0;18;12;8;2;505;153;354;1079;1042;1;55;38;0;651;641;0;1068.61;123.3;204.45;1149.76;40.21;4.27;11.89;0.2;56.57;424.39;655.9;7;0.9;5;1093.19;308;125;18;124.5;0;1.7;1;0;0;0;0;1.21;2184;2230;103;111;33;0;0;0;0;0;528;0;53;0;335;44;25;0;187;0;3;0;1;19;10;0;1;5;0;0;0;0;3;7;2;0;1;0;0;0;12;102.68;285.22;183.13;0.1;3.99;0;0;0.05;15.68;10.94;7.93;4.22;5.28;0.02;10.42;9.65;1.48;4.94;12.13;0.01;0.02;0;0.05;2.33;24.07;13.05;0;0.17;68.07;4.2;0.1;12.74;0;1.66;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6.13;17.35;2120;3.06;276;10.16;1012;6.6;853;3.46;590;10.47;1053;1.48;157;2.1;144;0.21;21;0.29;15;4.51;818;0.14;13;0.84;74;3.79;523;2.16;213;1.05;0;10.5;2126;51;0;2.8;203;0.41;36;1.9;1058;610.89;202080;4.76;3330;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
46.43.509.074;1;384;338;46;0;160;15;28;21;9;83;11;5;24;3;16;6;3;0;374;0;8;2;0;0;384;305;79;934;912;0;6;11;0;470;383;0;1521.24;17.9;16.65;1519.99;78.85;6.43;64.55;159.7;309.53;582.51;591.95;1.1;0;34.9;1210.46;195;140;31;168.2;0;0;0;0;0;0;0;0;2726;5960;24;30;29;0;0;0;4;0;267;0;22;0;468;157;0;0;30;0;0;0;1;28;37;0;2;0;0;0;0;0;18;6;2;0;1;0;0;1;9;134.53;43.75;149.8;0;8.01;0;0;0;2.97;8.47;1.8;5.73;0.82;0;2.23;4.3;2.47;2.83;5.35;0;0.75;0.25;0;6.25;39.88;13.38;0;0;106.47;4.35;0.3;16.75;0.2;0.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;49.1;4953;2.29;246;22.12;2012;21.84;2444;4.88;488;7.39;739;6.06;629;1.27;126;0.57;57;0.01;7;4.57;456;0.08;8;4.16;356;4.55;455;2.3;230;3.9;999;6.05;1416;25.18;5397;1.57;157;0.51;51;3.05;733;415.35;98650;0.83;83;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
46.43.509.075;1;5018;4593;425;0;1362;129;341;278;165;1127;143;169;556;224;338;130;40;16;2761;56;239;461;1501;165;4853;2392;2626;11311;10928;0;64;37;0;3441;1754;0;6783.66;579;729.41;6934.07;606.93;80.52;282.83;127.4;1097.68;2681.04;2796.75;79.7;14.8;264.1;5836.39;3182;593;75;575.1;0;45.2;13.2;7.5;0.2;0;0;0;26645;14987;3566;2020;3311;0;15;56;77;13;4475;98;304;9;3603;148;68;0;1070;0;23;0;9;39;166;14;3;219;3;0;23;10;80;13;1;93;12;0;0;45;121;829.33;958.7;573.15;0.15;5.37;0;1.79;0.41;25.04;56.89;10.99;29.45;9.07;2.79;19.82;29.8;13.97;20.31;28.13;4.58;3.41;3.39;1.28;37.19;157.69;40.7;0;1.03;249.34;14.65;0.26;19.79;0.26;2.23;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.1;328.93;38958;65.96;6879;160.09;16052;176;21562;21.52;3144;52.61;6072;13.24;1647;9.01;951;2.36;409;2.95;320;15.46;2368;1.24;146;18.48;1464;27.55;3478;11.25;1228;17.68;0;31.51;6715;218.11;5;7.66;797;5.44;790;39.36;7684;1553.98;416692;23.66;5331;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
46.43.509.114;1;554;523;31;0;193;7;30;23;12;50;21;50;62;38;46;13;5;4;490;39;9;8;8;3;551;162;392;1289;1241;1;3;3;0;576;331;0;1106.06;39.6;51.9;1118.36;86.52;10.94;14.36;1.4;113.22;429.45;562.39;5.6;2.1;5.6;1005.14;324;131;12;215.5;0;0;5;0;1.2;0;0;0;4184;1200;507;307;105;0;1;0;6;0;585;11;81;9;547;72;6;0;299;0;2;11;0;14;38;0;0;0;0;0;4;0;27;13;0;1;0;0;0;2;128;7.11;306.82;178.71;0.3;1.2;0;0;0.02;7.58;8.56;1.59;2.79;1.26;0.02;2.35;2.33;1.92;3;0.21;1.4;1;0.05;0.05;0.4;21.13;4.99;0;0.2;64.82;2.05;0.8;4.66;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;32.39;5519;1.9;260;6.93;1240;23.3;3122;0.43;70;6.77;2377;0.32;43;0.24;26;0.41;104;0.17;18;0.81;180;0.41;45;0.27;21;6.35;348;1.63;733;2.15;0;1.32;775;21.53;0;1.14;132;1.18;230;10.81;2751;455.84;131267;1.8;570;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
46.43.509.115;1;2029;1815;214;0;554;64;130;129;96;417;68;65;171;78;188;43;21;5;1371;14;67;224;353;35;1994;488;1541;4814;4629;3;31;19;0;1271;885;0;4508.23;143.8;140.63;4505.06;385.82;17.32;148.86;51.2;603.2;1664.85;2181.31;8.4;2.2;45.1;3901.86;1116;340;127;264.6;0;3.9;2;0;0;0;0;0.5;14772;10100;1876;2358;943;0;126;58;105;120;2215;70;59;0;2057;40;43;0;491;11;6;13;5;20;126;5;8;5;0;0;2;0;7;19;5;57;3;0;0;8;88;232;442.9;326.3;1.41;3.21;0.02;0.07;0.02;18.2;28.66;0.54;6.8;7.35;0.43;7.49;7.8;3.44;4.83;6.34;4.17;5.38;0.5;0.15;15.11;124.92;21.57;0;0.55;182.58;4.22;0.01;16.17;1;0.41;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.06;287.28;30763;12.09;1218;48.95;4865;180.05;18160;2.52;279;13.83;1840;1.73;121;32.19;319;0.84;86;1.06;95;30.23;3103;0.56;51;2.03;216;2.57;674;2.89;297;0.5;0;4.03;620;113.46;0;23.31;1280;5.03;850;6.67;1572;1428.3;295811;1.44;220;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
46.43.509.668;1;1433;1393;40;0;359;18;57;85;54;238;31;40;196;111;169;54;19;2;1348;0;61;24;0;5;1428;350;1083;3216;3065;0;10;3;0;1701;1493;0;5724.42;75.6;70.3;5719.12;397.69;19.85;198.46;1.7;617.7;2401.9;2682.72;10.5;0;6.3;5101.42;770;493;132;295.7;0;10.4;1.6;0;0;0;0;0;13638;5470;591;1026;28;0;10;0;12;0;1596;27;104;10;2071;399;107;0;960;0;5;0;1;69;52;3;0;55;0;0;1;0;0;15;2;2;0;0;0;5;97;531.55;738.04;383.26;0.1;2.03;0;0;1.17;47.37;31.8;4.75;5.16;0.61;0.74;0.34;0.8;1.05;3.63;0.44;0.52;0.05;1;0;2.15;85.56;11.3;0;0.6;609.24;18.04;0;9.05;0;0.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;354.74;37347;0.83;83;33.08;4139;149.03;15929;1.63;739;40.16;9348;1.27;80;0.81;2303;0.2;19;1.21;424;24.71;5951;0.1;12;2.05;3375;1.99;268;10.67;2691;1.99;0;11.48;5691;66.25;0;0.08;8;0;0;23;3204;2013.79;430178;51.07;2370;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
46.47.307.073;1;503;456;47;0;98;19;64;40;26;94;13;27;41;36;29;13;2;1;405;4;28;29;37;5;498;460;43;1200;1193;0;11;3;0;582;527;0;761.78;37.1;139.7;864.38;42.96;6.97;0.1;0.1;50.13;374.26;435.09;3.1;1.7;0.1;814.25;400;77;6;56.6;0;4.4;0.5;0;0;0;0;0.45;5181;4120;196;112;54;0;4;0;17;0;774;0;109;0;1355;15;74;12;479;12;13;0;11;13;16;0;7;16;0;0;0;0;0;4;0;0;3;0;0;0;141;71.6;257.15;84;0;2.39;0;0.05;0;2.34;12.05;2.91;7.96;1.4;0;1.71;5.2;1.51;3.25;9.59;0.09;0.07;0;0;3.08;14.47;2.19;0;0.15;26.11;2.62;0.35;1.1;0.05;1.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;31.53;43.04;8812;5.34;898;46.24;8127;34.12;6737;5.28;892;7.5;1574;3.08;1061;2.77;375;0.37;49;0.34;24;3.13;541;1.88;183;3.99;444;5.95;1411;6.03;675;3.7;0;3.47;1043;67.95;0;0.32;67;0;0;7.74;1419;142.83;68958;1.14;169;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
46.47.307.112;1;130;118;12;0;34;8;18;23;5;25;7;1;1;1;2;5;0;0;106;1;2;4;17;4;126;70;60;288;285;0;0;0;0;101;99;0;257.65;2.8;14.8;269.65;24.4;3.95;13.9;4.1;46.35;82.15;135.25;0;0;5.9;223.3;77;32;1;0.6;0;0;0;0;0;0;0;0;697;500;7;60;10;0;0;0;0;0;92;0;19;0;42;0;4;0;34;0;1;0;1;1;0;0;2;0;0;0;1;0;0;1;0;0;0;0;0;0;2;32.01;25.5;3.4;0;0.02;0;0;0.01;0;0.5;0.3;0;0.41;0;1.15;0.4;0.5;1.3;0.1;0;0;0;0;5.2;6.8;0;0;0;13.88;0.46;0;17.09;0.02;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.96;9.31;2353;0.09;4;10.65;2057;17.36;4354;0.2;38;0.68;21;0;0;0.01;1;0;0;0;0;0.8;230;0;0;0.26;39;0.68;225;1.69;270;0.05;0;0.2;100;7.05;0;0.35;25;0;0;1.4;800;65.2;31532;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
46.47.307.259;1;495;418;77;0;133;5;17;23;18;42;16;33;55;47;68;33;4;1;214;5;33;68;175;45;450;106;389;1207;1173;2;2;2;0;256;219;2;617.4;50;61.66;629.06;60.25;4.77;8.3;3.5;76.82;267.49;250.75;4.1;0.1;29.8;552.24;294;56;3;29.8;0;0;0;0.8;0;0;0;0;3745;0;516;500;402;0;0;50;48;0;666;0;14;0;526;0;9;0;37;0;0;0;0;15;5;2;1;46;0;0;0;0;0;0;0;0;0;0;0;0;1;30.45;204.34;35.07;0.3;1.55;0.2;0;0;0.8;2.1;0.24;1.26;0.2;2.25;0.67;1;3.93;0.64;1;0.1;0;0;0;4.77;5.81;0.6;0;0;13.15;1.45;0;4.31;0;2.7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13.54;48.4;10942;0.45;103;25.44;5003;22.47;4668;1.19;369;3.55;561;0.02;33;0.95;162;0;26;0.1;33;1.45;233;0.09;46;1.75;109;0.41;184;3.23;588;0.3;0;2.53;1091;47.67;0;0.61;82;0.47;68;2.81;1340;75.97;32447;0.5;618;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
